sdg_labels,term,tfidf_score
SDG17_partnership,senior,0.0714566649483155
SDG17_partnership,materiality,0.07016242432369595
SDG17_partnership,trade_secret,0.06852804130383264
SDG17_partnership,cloud,0.06511212638380849
SDG17_partnership,solution,0.06431099845348395
SDG17_partnership,care,0.06431099845348395
SDG17_partnership,disable,0.06193985710155498
SDG17_partnership,online,0.05954722079026291
SDG17_partnership,ethic,0.05954722079026291
SDG17_partnership,reporting,0.05954722079026291
SDG17_partnership,recruitment,0.05860091374542764
SDG17_partnership,teacher,0.058375718003619854
SDG17_partnership,indicator,0.0571653319586524
SDG17_partnership,mineral,0.05554525258959263
SDG17_partnership,industry association,0.054783443127041885
SDG17_partnership,line,0.05240155429543136
SDG17_partnership,sdg,0.05240155429543136
SDG17_partnership,deliver,0.05240155429543136
SDG17_partnership,vice president,0.05240155429543136
SDG17_partnership,risk opportunity,0.05208970110704679
SDG17_partnership,intern,0.051078753253167374
SDG17_partnership,intelligent,0.05001966546382085
SDG17_partnership,charity,0.05001966546382085
SDG17_partnership,security management,0.04955188568124399
SDG3_health,safety health,0.20437501239793276
SDG3_health,chemical,0.20149649109655346
SDG3_health,injury,0.18134684198689813
SDG3_health,disable,0.16467999284897775
SDG3_health,esh,0.12665493726069074
SDG3_health,care,0.12377641595931141
SDG3_health,committee,0.11801937335655273
SDG3_health,disable injury,0.11477696471292388
SDG3_health,hazardous,0.10650528815103538
SDG3_health,senior,0.10074824554827673
SDG3_health,disease,0.09442588937981666
SDG3_health,health check,0.08982545064489696
SDG3_health,emergency,0.08635563904138006
SDG3_health,ergonomic,0.08483514783129156
SDG3_health,hour,0.08347711774000072
SDG3_health,occupational safety,0.08347711774000072
SDG3_health,significant supplier,0.08281638673351013
SDG3_health,high risk,0.07963114108991359
SDG3_health,protective,0.07772007513724205
SDG3_health,alarm,0.07495647136092833
SDG3_health,hospital,0.07065962045606757
SDG3_health,fall,0.07007540415912397
SDG3_health,hazardous substance,0.07007540415912397
SDG3_health,health management,0.06908451123310404
SDG3_health,quadrant,0.06887363073001443
SDG3_health,hazard,0.06712663943326418
SDG3_health,physician,0.06487393657687002
SDG3_health,injury frequency,0.06487393657687002
SDG3_health,pfass,0.06370491287193088
SDG3_health,sdg,0.06332746863034537
SDG4_education,learning,0.14409327164763672
SDG4_education,senior,0.13676649512318062
SDG4_education,care,0.13188197744020988
